nohup: ignoring input
Guide:
cmfn: Fredriksson-Navarro.
udi/mm: Muth-Manber (only k=1).
mepsm-nomod/mbyps: MBYPS (ours) using MEPSM with no modifications (original size of the fingerprints).
mbyps: MBYPS (ours).
byn-original/byn: Baeza-Yates and Navarro original code for edit distance (adapted to Hume-Sunday environment).
byn-mod-hamming/byn: Baeza-Yates and Navarro (partition into exact matching) code adapted to Hamming distance.

Preprocessing runs 100. Search runs 100. For 'cmfn' we make same number of preprocessing and searching runs.


********** ./tests/genome/ecoli.txt **********


Pattern length 8:

 for sets of 10 patterns:
alg=perl-mm-multi/mbyps  np=10    match=17265      p=0.00020s e=0.01670s total=0.01690s
alg=lti-b/mbypsb-memcmp  np=10    match=17265      p=0.00010s e=0.01660s total=0.01670s
alg=-b/mbypsb-simdcmp16  np=10    match=17265      p=0.00010s e=0.01520s total=0.01530s
alg=lti-b/mbypsb-nocomp  np=10    match=17265      p=0.00000s e=0.01220s total=0.01220s

Pattern length 2 out of range!
Pattern length 2 out of range!
Pattern length 2 out of range!
Pattern length 2 out of range!

Pattern length 2 out of range!
Pattern length 2 out of range!
Pattern length 2 out of range!
Pattern length 2 out of range!


 for sets of 100 patterns:
alg=perl-mm-multi/mbyps  np=100   match=202240     p=0.00010s e=0.12620s total=0.12630s
alg=lti-b/mbypsb-memcmp  np=100   match=202240     p=0.00020s e=0.12290s total=0.12310s
alg=-b/mbypsb-simdcmp16  np=100   match=202240     p=0.00010s e=0.10970s total=0.10980s
alg=lti-b/mbypsb-nocomp  np=100   match=202240     p=0.00010s e=0.09230s total=0.09240s

Pattern length 2 out of range!
Pattern length 2 out of range!
Pattern length 2 out of range!
Pattern length 2 out of range!

Pattern length 2 out of range!
Pattern length 2 out of range!
Pattern length 2 out of range!
Pattern length 2 out of range!


 for sets of 1000 patterns:
alg=perl-mm-multi/mbyps  np=1000  match=2080020    p=0.00160s e=1.20320s total=1.20480s
alg=lti-b/mbypsb-memcmp  np=1000  match=2080020    p=0.00160s e=1.14810s total=1.14970s
alg=-b/mbypsb-simdcmp16  np=1000  match=2080020    p=0.00150s e=1.04130s total=1.04280s
alg=lti-b/mbypsb-nocomp  np=1000  match=2080020    p=0.00150s e=0.87560s total=0.87710s

Pattern length 2 out of range!
Pattern length 2 out of range!
Pattern length 2 out of range!
Pattern length 2 out of range!

Pattern length 2 out of range!
Pattern length 2 out of range!
Pattern length 2 out of range!
Pattern length 2 out of range!


Pattern length 16:

 for sets of 10 patterns:
alg=perl-mm-multi/mbyps  np=10    match=4          p=0.00030s e=0.00710s total=0.00740s
alg=lti-b/mbypsb-memcmp  np=10    match=4          p=0.00040s e=0.00710s total=0.00750s
alg=-b/mbypsb-simdcmp16  np=10    match=4          p=0.00030s e=0.00640s total=0.00670s
alg=lti-b/mbypsb-nocomp  np=10    match=4          p=0.00030s e=0.00520s total=0.00550s

alg=perl-mm-multi/mbyps  np=10    match=25         p=0.00030s e=0.01190s total=0.01220s
alg=lti-b/mbypsb-memcmp  np=10    match=25         p=0.00040s e=0.01210s total=0.01250s
alg=-b/mbypsb-simdcmp16  np=10    match=25         p=0.00030s e=0.01120s total=0.01150s
alg=lti-b/mbypsb-nocomp  np=10    match=25         p=0.00030s e=0.00890s total=0.00920s

alg=perl-mm-multi/mbyps  np=10    match=244        p=0.00030s e=0.03610s total=0.03640s
alg=lti-b/mbypsb-memcmp  np=10    match=244        p=0.00040s e=0.03500s total=0.03540s
